cluster,nota10_hash,rendimiento_total,cred_sup_total,cred_mat_total,total_pft_events,total_pft_visits,total_pft_assignment_submissions,total_n_wifi_days,total_resource_events,anyo_ingreso,size,dropout_rate
0,7.762,89.954,53.882,60.045,431.246,85.466,3.228,103.646,131.848,2019.983,2832,0.031
1,7.225,83.274,41.346,56.667,68.232,6.561,0.099,33.639,28.639,2018.062,7168,0.077
