cluster,nota10_hash,rendimiento_total,cred_sup_total,cred_mat_total,total_pft_events,total_pft_visits,total_pft_assignment_submissions,total_n_wifi_days,total_resource_events,anyo_ingreso,size,dropout_rate
0,7.279,84.424,42.023,56.865,63.525,6.552,0.085,36.473,26.348,2018.166,3539,0.076
1,7.619,86.709,51.707,59.709,422.22,81.269,3.073,95.888,131.364,2019.719,1461,0.039
