support,itemsets
0.05206,"frozenset({'campus_hash=9103a6c82e355433', 'tipo_ingreso=NAP'})"
0.06002,"frozenset({'campus_hash=9103a6c82e355433', 'total_n_wifi_days=Low'})"
0.06502,"frozenset({'campus_hash=9103a6c82e355433', 'total_pft_assignment_submissions=Low'})"
0.06496,"frozenset({'total_pft_events=Low', 'campus_hash=9103a6c82e355433'})"
0.06502,"frozenset({'campus_hash=9103a6c82e355433', 'total_pft_visits=Low'})"
0.06492,"frozenset({'campus_hash=9103a6c82e355433', 'total_resource_events=Low'})"
0.0917,"frozenset({'dedicacion=TC', 'campus_hash=e4f95d56d90df35e'})"
0.06082,"frozenset({'campus_hash=e4f95d56d90df35e', 'desplazado_hash=A'})"
0.06854,"frozenset({'campus_hash=e4f95d56d90df35e', 'tipo_ingreso=NAP'})"
0.06688,"frozenset({'total_n_wifi_days=Low', 'campus_hash=e4f95d56d90df35e'})"
0.09422,"frozenset({'campus_hash=e4f95d56d90df35e', 'total_pft_assignment_submissions=Low'})"
0.09414,"frozenset({'total_pft_events=Low', 'campus_hash=e4f95d56d90df35e'})"
0.09418,"frozenset({'campus_hash=e4f95d56d90df35e', 'total_pft_visits=Low'})"
0.09392,"frozenset({'campus_hash=e4f95d56d90df35e', 'total_resource_events=Low'})"
0.6011,"frozenset({'dedicacion=TC', 'desplazado_hash=A'})"
0.3751,"frozenset({'dedicacion=TC', 'desplazado_hash=B'})"
0.3248,"frozenset({'estudios_m_hash=F', 'dedicacion=TC'})"
0.44174,"frozenset({'dedicacion=TC', 'estudios_m_hash=L'})"
0.1843,"frozenset({'dedicacion=TC', 'estudios_m_hash=T'})"
0.32064,"frozenset({'dedicacion=TC', 'estudios_p_hash=F'})"
0.39546,"frozenset({'dedicacion=TC', 'estudios_p_hash=L'})"
0.21938,"frozenset({'dedicacion=TC', 'estudios_p_hash=T'})"
0.24366,"frozenset({'dedicacion=TC', 'nota10_hash=High'})"
0.23942,"frozenset({'dedicacion=TC', 'nota10_hash=Low'})"
0.24144,"frozenset({'dedicacion=TC', 'nota10_hash=Medium'})"
0.65542,"frozenset({'dedicacion=TC', 'tipo_ingreso=NAP'})"
0.74442,"frozenset({'dedicacion=TC', 'total_n_wifi_days=Low'})"
0.22966,"frozenset({'dedicacion=TC', 'total_n_wifi_days=Medium'})"
0.97538,"frozenset({'dedicacion=TC', 'total_pft_assignment_submissions=Low'})"
0.97412,"frozenset({'dedicacion=TC', 'total_pft_events=Low'})"
0.97542,"frozenset({'dedicacion=TC', 'total_pft_visits=Low'})"
0.9735,"frozenset({'dedicacion=TC', 'total_resource_events=Low'})"
0.2048,"frozenset({'estudios_m_hash=F', 'desplazado_hash=A'})"
0.28504,"frozenset({'estudios_m_hash=L', 'desplazado_hash=A'})"
0.11426,"frozenset({'estudios_m_hash=T', 'desplazado_hash=A'})"
0.20332,"frozenset({'desplazado_hash=A', 'estudios_p_hash=F'})"
0.2611,"frozenset({'estudios_p_hash=L', 'desplazado_hash=A'})"
0.13094,"frozenset({'estudios_p_hash=T', 'desplazado_hash=A'})"
0.1396,"frozenset({'nota10_hash=High', 'desplazado_hash=A'})"
0.1757,"frozenset({'nota10_hash=Low', 'desplazado_hash=A'})"
0.1601,"frozenset({'nota10_hash=Medium', 'desplazado_hash=A'})"
0.41986,"frozenset({'tipo_ingreso=NAP', 'desplazado_hash=A'})"
0.4765,"frozenset({'total_n_wifi_days=Low', 'desplazado_hash=A'})"
0.14174,"frozenset({'desplazado_hash=A', 'total_n_wifi_days=Medium'})"
0.61922,"frozenset({'total_pft_assignment_submissions=Low', 'desplazado_hash=A'})"
0.61844,"frozenset({'total_pft_events=Low', 'desplazado_hash=A'})"
0.61896,"frozenset({'total_pft_visits=Low', 'desplazado_hash=A'})"
0.61798,"frozenset({'desplazado_hash=A', 'total_resource_events=Low'})"
0.12734,"frozenset({'estudios_m_hash=F', 'desplazado_hash=B'})"
0.16398,"frozenset({'estudios_m_hash=L', 'desplazado_hash=B'})"
0.07764,"frozenset({'estudios_m_hash=T', 'desplazado_hash=B'})"
0.12436,"frozenset({'estudios_p_hash=F', 'desplazado_hash=B'})"
0.14156,"frozenset({'estudios_p_hash=L', 'desplazado_hash=B'})"
0.09634,"frozenset({'estudios_p_hash=T', 'desplazado_hash=B'})"
0.1061,"frozenset({'nota10_hash=High', 'desplazado_hash=B'})"
0.07056,"frozenset({'nota10_hash=Low', 'desplazado_hash=B'})"
0.08502,"frozenset({'nota10_hash=Medium', 'desplazado_hash=B'})"
0.24364,"frozenset({'tipo_ingreso=NAP', 'desplazado_hash=B'})"
0.29096,"frozenset({'total_n_wifi_days=Low', 'desplazado_hash=B'})"
