support,itemsets
0.05822,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.07008,"frozenset({'total_n_wifi_days=Low', 'estudios_p_hash=T', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08972,"frozenset({'estudios_p_hash=T', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08962,"frozenset({'total_pft_events=Low', 'estudios_p_hash=T', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08982,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.08948,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.09788,"frozenset({'nota10_hash=High', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.06654,"frozenset({'total_n_wifi_days=Low', 'nota10_hash=High', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.10162,"frozenset({'nota10_hash=High', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.10142,"frozenset({'total_pft_events=Low', 'nota10_hash=High', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.10178,"frozenset({'nota10_hash=High', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.10126,"frozenset({'nota10_hash=High', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.05338,"frozenset({'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0633,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0632,"frozenset({'total_pft_events=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0633,"frozenset({'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC', 'nota10_hash=Low'})"
0.06312,"frozenset({'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC', 'nota10_hash=Low'})"
0.07376,"frozenset({'Dropout=No', 'nota10_hash=Medium', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.0588,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'nota10_hash=Medium', 'desplazado_hash=B', 'dedicacion=TC'})"
0.0789,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'nota10_hash=Medium', 'desplazado_hash=B', 'dedicacion=TC'})"
0.07878,"frozenset({'total_pft_events=Low', 'Dropout=No', 'nota10_hash=Medium', 'desplazado_hash=B', 'dedicacion=TC'})"
0.079,"frozenset({'Dropout=No', 'nota10_hash=Medium', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.07878,"frozenset({'Dropout=No', 'total_resource_events=Low', 'nota10_hash=Medium', 'desplazado_hash=B', 'dedicacion=TC'})"
0.16078,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.06708,"frozenset({'total_n_wifi_days=Medium', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.22812,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.22768,"frozenset({'total_pft_events=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.22834,"frozenset({'Dropout=No', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.22752,"frozenset({'Dropout=No', 'total_resource_events=Low', 'tipo_ingreso=NAP', 'desplazado_hash=B', 'dedicacion=TC'})"
0.26794,"frozenset({'total_n_wifi_days=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.26762,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.268,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.2674,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08494,"frozenset({'total_pft_assignment_submissions=Low', 'total_n_wifi_days=Medium', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08482,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Medium', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.08514,"frozenset({'total_n_wifi_days=Medium', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.0848,"frozenset({'total_n_wifi_days=Medium', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.35282,"frozenset({'total_pft_events=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'dedicacion=TC'})"
0.35348,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.35254,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.35308,"frozenset({'total_pft_events=Low', 'Dropout=No', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.3522,"frozenset({'total_pft_events=Low', 'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'dedicacion=TC'})"
0.35282,"frozenset({'Dropout=No', 'total_resource_events=Low', 'desplazado_hash=B', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.09536,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.11182,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.14748,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.14728,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.14744,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.14718,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.05066,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.05782,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.075,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.07484,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.075,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.07482,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.05538,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'estudios_p_hash=T', 'Dropout=No', 'dedicacion=TC'})"
0.07272,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=T', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.0726,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'estudios_p_hash=T', 'Dropout=No', 'dedicacion=TC'})"
0.07268,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=T', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.07248,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=T', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.06304,"frozenset({'estudios_m_hash=F', 'nota10_hash=High', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.0656,"frozenset({'estudios_m_hash=F', 'nota10_hash=High', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.06538,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'nota10_hash=High', 'Dropout=No', 'dedicacion=TC'})"
0.06556,"frozenset({'estudios_m_hash=F', 'nota10_hash=High', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.06536,"frozenset({'estudios_m_hash=F', 'nota10_hash=High', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.06812,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'nota10_hash=Low'})"
0.06674,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0862,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.08608,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.08618,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0859,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'nota10_hash=Low'})"
0.06742,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'nota10_hash=Medium', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.0544,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.07324,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.0731,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.0732,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'nota10_hash=Medium', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.07306,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.1452,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.05618,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Medium', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.20186,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.20146,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.20174,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'tipo_ingreso=NAP', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.20122,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.23162,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.2313,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'total_n_wifi_days=Low', 'Dropout=No', 'dedicacion=TC'})"
0.23158,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.2311,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.07228,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'total_n_wifi_days=Medium', 'Dropout=No', 'dedicacion=TC'})"
0.07212,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'total_n_wifi_days=Medium', 'Dropout=No', 'dedicacion=TC'})"
0.07222,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Medium', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.07206,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Medium', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.30402,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.30438,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.30376,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.30396,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.30338,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.30368,"frozenset({'estudios_m_hash=F', 'Dropout=No', 'total_resource_events=Low', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.06826,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.0719,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.09756,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.09736,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.09756,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.09742,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.09916,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.07018,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'nota10_hash=Medium', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.20032,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.20096,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.07734,"frozenset({'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.27862,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.27846,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.2787,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.278,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=L', 'dedicacion=TC'})"
0.13156,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.08512,"frozenset({'total_n_wifi_days=Low', 'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC'})"
0.05114,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'dedicacion=TC'})"
0.1364,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.1363,"frozenset({'total_pft_events=Low', 'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC'})"
0.1365,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.13586,"frozenset({'nota10_hash=High', 'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.05888,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'nota10_hash=Low'})"
0.05606,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.07368,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.07358,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low'})"
0.07362,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'nota10_hash=Low'})"
0.07346,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'nota10_hash=Low'})"
0.10158,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'nota10_hash=Medium', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.07838,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.10968,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.10954,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.10978,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'nota10_hash=Medium', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.1096,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'nota10_hash=Medium', 'dedicacion=TC'})"
0.20096,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.09578,"frozenset({'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.29698,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.29666,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.2971,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'tipo_ingreso=NAP', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.29618,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'tipo_ingreso=NAP', 'dedicacion=TC'})"
0.30316,"frozenset({'total_n_wifi_days=Low', 'total_pft_assignment_submissions=Low', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC'})"
0.3029,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'dedicacion=TC'})"
0.30318,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.30256,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.11332,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'total_n_wifi_days=Medium', 'Dropout=No', 'dedicacion=TC'})"
0.11324,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'dedicacion=TC'})"
0.11344,"frozenset({'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.11306,"frozenset({'estudios_m_hash=L', 'total_n_wifi_days=Medium', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.41656,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC'})"
0.41704,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.41602,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.41672,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.41574,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC'})"
0.4162,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'total_resource_events=Low', 'total_pft_visits=Low', 'dedicacion=TC'})"
0.05236,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.0522,"frozenset({'total_pft_events=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.05234,"frozenset({'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=F', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.05232,"frozenset({'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=F', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.05952,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.07824,"frozenset({'total_n_wifi_days=Low', 'estudios_p_hash=T', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.09438,"frozenset({'estudios_p_hash=T', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.0943,"frozenset({'total_pft_events=Low', 'estudios_p_hash=T', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.09444,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.09428,"frozenset({'estudios_p_hash=T', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.05426,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low', 'estudios_m_hash=T'})"
0.05422,"frozenset({'total_pft_events=Low', 'Dropout=No', 'dedicacion=TC', 'nota10_hash=Low', 'estudios_m_hash=T'})"
0.05422,"frozenset({'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'nota10_hash=Low', 'estudios_m_hash=T'})"
0.05422,"frozenset({'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'nota10_hash=Low', 'estudios_m_hash=T'})"
0.08518,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.11074,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.11046,"frozenset({'total_pft_events=Low', 'Dropout=No', 'tipo_ingreso=NAP', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.11072,"frozenset({'Dropout=No', 'tipo_ingreso=NAP', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.1105,"frozenset({'Dropout=No', 'total_resource_events=Low', 'tipo_ingreso=NAP', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.1397,"frozenset({'total_n_wifi_days=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.1395,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Low', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.13972,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.13954,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.17218,"frozenset({'total_pft_events=Low', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.17246,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.1722,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.17218,"frozenset({'total_pft_events=Low', 'Dropout=No', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.17194,"frozenset({'total_pft_events=Low', 'Dropout=No', 'total_resource_events=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.17222,"frozenset({'Dropout=No', 'total_resource_events=Low', 'total_pft_visits=Low', 'dedicacion=TC', 'estudios_m_hash=T'})"
0.0655,"frozenset({'nota10_hash=High', 'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.06884,"frozenset({'nota10_hash=High', 'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.06858,"frozenset({'total_pft_events=Low', 'nota10_hash=High', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.0688,"frozenset({'nota10_hash=High', 'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.06866,"frozenset({'nota10_hash=High', 'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=F', 'dedicacion=TC'})"
0.06338,"frozenset({'Dropout=No', 'tipo_ingreso=NAP', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0628,"frozenset({'total_n_wifi_days=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
0.08056,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
0.08038,"frozenset({'total_pft_events=Low', 'Dropout=No', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0805,"frozenset({'Dropout=No', 'total_pft_visits=Low', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
0.0804,"frozenset({'Dropout=No', 'total_resource_events=Low', 'estudios_p_hash=F', 'dedicacion=TC', 'nota10_hash=Low'})"
